item_id|date|category|title|content|link|photo_link
Stock_04-16_1|04-16|學術股市|[新聞] 日媒：台積電將敲定面板級封裝規格 先從|原文標題：日媒：台積電將敲定面板級封裝規格 先從較小尺寸開始原文連結：發布時間：2025-04-15 14:19記者署名：劉忠勇原文內容：日媒報導，台積電（2330）即將敲定「面板級」先進封裝技術規格，預定最快2027年開始小量試產。據報導，台積電新封裝技術的第一代版本，將採用300x300 mm的方形基板，比先前試做的510×515 mm小得多，但相較於傳統的圓形晶圓可用面積更大。台積電為了嚴格控管品質，決定先採用略小的基板。為加快開發進度，台積電正在桃園興建試產線，目標是在2027年左右開始小量試產。。心得/評論：--南茂哥四年投資友達 資產快腰斬 大獲全勝啦！有夠慘的不少小白推文說很棒喔！真是害死不少人第一 群創沒技術第二 群創股本大 如真貢獻也佔比不到營收5%產能kobe:轉型半導體值得投資|https://www.ptt.cc/bbs/Stock/M.1744794518.A.3D1.html|
Stock_04-16_2|04-16|學術股市|Re: [新聞] 川普傳打算以關稅談判孤立中國 可能要各|從廣場協議看2018美中貿易戰 的升級版，及這次的關稅事件，廣場協議的主因也是貿易逆差跟美元過強，當時的時代背景-美國鋼鐵重鎮跟底特律汽車王國-從曾經是世界第一的位置 被日本超越，美國大量進口日本鋼鐵及汽車，導致本土產業利潤被壓縮，造成大規模就業流失，美國主要針對貿易逆差最大的對象-日本，跟多國簽廣場協議，對日本的主要影響-日幣升值，影響對美國出口商品利潤下降，2018則是中國崛起，但是威脅到美國，中國不是合作者的態度跟做事方法，而是例如強迫去到中國投資的外國企業-技術轉移，或是偷取技術或資料，轉移或偷取後，過幾年就開設同類型的公司競爭，然後政府補貼，取得市佔後賣到包含轉移或偷取技術的國家及其它國家，-傾銷。中國以補貼再傾銷到其他國家的產業已不在少數，面板，太陽能，手機，電動車，化妝品，甚至成熟製程晶片，及其它產業，現在中國成熟製程晶片也已經快到可以傾銷的地步，所以之前聯電股價受影響吧我想，如果拋開政黨意識或人物爭議，假設當年李登輝總統沒有立下政策限制-台積電技術在外國設廠，必須保持落後台灣技術一代，以中國政府補貼產業的態度，現在的台積電會是什麼模樣？如果讓中國也掌握先進製程晶片技術，也政府補貼及大量製造，然後傾銷各國，台積電怎麼辦？現在還會是領先全球的技術位置嗎？然後中國現在即使在美國限制先進晶片製程及設備的情況下，照樣能透過新加坡走私AI晶片，到了新加坡成為走私最大國之一的程度，也能利用白手套公司，騙取讓台積電幫忙代工，因為維持現狀的話，中國離掌握最先進科技的進度越來越近；如果等到中國真的做到掌握先進製程晶片技術，當全世界所有最賺錢 最科技先進的產業在中國手中，從手機，電動車到電腦到先進製程的AI晶片然後到軍火，進而成為世界霸主，中國會怎麼做？會怎麼對待其它國家？所有其它國家裡面，尤其以我們台灣而言，是好還是不好？中國成為世界霸主，跟美國是世界霸主的差別是什麼？見微知著，看中國現在整體經濟跟人民幸福度，還有所有跟中國合作的國家例如一帶一路，經濟情況都沒有更好，所以如果中國在取得世界霸主地位之後，即使是站它隊的，我覺得頂多也只有少數人享有好處。而如果把美國跟中國擬人化，看它們的“人品”（我們如果不看誰比較好，只看誰比較不好）美國根據已知歷史，幫助過日韓還有中國及其它國家的經濟或教育或醫療，整體結果大都為正面效果，而中國的幫助，通常是幫到他國的基礎建設可以被中國租用百年左右，還欠中國一屁股債或經濟倒退，例如斯里蘭卡的漢班托塔港，都是負面效果。而美國在廣場協議也只是讓日幣升值，人品比較起來，稍微比較好一點。所以如果我是其它國家的“領導人”這個位置，先不代入什麼國家跟人，盡可能選擇利益最佳化或盡量減輕降低傷害程度，我的選擇只有兩條路，站中國的，或站美國的隊；那麼我不會考慮站中國的隊。那如果想推測之後局勢發展，“我會先想像自己是中國領導人”一樣先不代入什麼人，盡可能只是客觀想像“中國領導人”這個位置的利益最佳化，那麼我會採取手段各種利誘威脅，分化各國，然後我會繼續追趕最先進科技的程度，以達到掌握最先進科技，掌握各種最重要有形無形資源，掌握最賺錢產業及技術，各種入股併購，盡可能賺其它國家的錢，越多越好，然後我會透過經濟力量-更改規則甚至創造規則，其它國家的利潤資源都會越來越被壓縮，形成惡性循環，他們的政商會更勾結，那麼全世界包含中國的一般中低階層百姓都會更辛苦；再想像如果我是美國總統的位置，一樣先不代入人，盡可能只是客觀想像這個位置的利益最佳化或最降低風險或傷害程度；“如果我是美國總統”我會盡力與其它國家合作，如果不能中斷中國的野心做法，也盡可能去延緩，當初廣場協議後，不過幾年 互聯網時代崛起，（我自己猜測，這可能也是美國鋼鐵跟汽車工業沒有恢復昔日榮景-美國政府沒有去解決根本問題，而是把重心放在互聯網科技）所以延緩中國取得先進科技進度，也許美國可以再取得類似互聯網這樣下一個大跨越程度的科技創新，雖然要再度防範中國偷取技術，但就是保持領先。所以在美國總統的位置，讓台積電過去，是那個位置的必然選擇。想像中國跟美國兩個大方向後，代入如果我是台灣總統的位置，慶幸目前大方向看起來一致，不是站中國的隊，“如果我是台灣總統的位置”一樣先不代入人，不代入政黨，盡可能客觀找出利益最佳化或盡量降低傷害程度的選擇，我會配合過去美國設廠，只要是美國希望的；但談判交涉過程我希望盡可能爭取利益最佳化或盡量減輕降低傷害的程度，不過目前談判資訊都是未透明的，我本來最關心台積電如果過去設廠，能不能保持李登輝總統政策，技術落後台灣一代，但。總之已決定或已進行中的，我想像也於事無補，因此想像到這邊就好；然後關於其它國家-與美國中國合作的利弊分析，我相信其它國家評估更多，只是可能礙於政治而選擇放出什麼訊息，所以關於其它國家之間，未實際宣布合作項目或政策，都可以更加保持媒體消息識別判讀。上面對不同角色的想像都盡量先不代入人，盡可能客觀想像符合位置的最佳利益或減輕降低風險傷害的大方向，代入人後，才依其言行、方式跟手段評估風險。所以在這樣的局勢環境，選擇投資或避開投資什麼產業，我個人會寧願避開主要戰場，（在代入什麼人後的評估風險考量），那麼，美國總統現在要達成要維護的，通通都是他的痛點：減低美債壓力（要求各國投資、買美債、捐款）縮短貿易逆差（關稅、匯率-希望各國貨幣升值）製造業回流（AI晶片 資料中心 通訊設備 汽車）農產品跟鋼鐵（內需-選舉票倉）都也可能會成為中國或跟中國合作的國家的報復戰場，或是美國為了限制或延緩中國，即使會有犧牲但仍必要的政策，（進而影響投資人/機構心理因素，影響投資價格變動較大）。最後，回到我是投資人的位置，關注所有後續經證實的可能影響經濟格局變化的政策，是極需要的；例如前幾天美國海關CBP宣布部份產品及部份高科技產品豁免清單，但仍有變數（半導體關稅、芬太尼關稅）如果以台灣及其它國家來看，最大受益者目前是台灣（在豁免比例與產品範圍-高於其他國家，更在高附加價值的半導體與科技零組件領域，占據少數真正受惠的核心位置）因此關注後續1. 90天後（至7月9號）台灣的談判結果，2. 還有7/9後各國實際公佈談判條件，（跟其他國家影響比較，希望台灣不要比他國差或差太多）3 韓國不久前宣布200億鎂以上的晶片產業扶持計畫，（關注未來程度是否可能會影響台灣未來利益；4. 半導體關稅、芬太尼關稅後續5. 礦產關稅後續 會再如何影響國際局勢（川普已簽署一項命令，指示商務部調查所有「關鍵礦產」的進口情況，確認徵收關稅的可能性）。6. 這兩天新聞-美國政府要求輝達H20和AMD-MI308晶片需申請許可才能出口至中國等地，這表示美國高科技企業產品都隨時可能受美國政府政策出口管制而影響獲利成長速度，（也關注未來其它美國產品受政策出口管制）7. 關注中國取得最先進科技技術進度，8. 技術不容易被偷取的台股，9. 美國希望過去美國設廠的重要科技供應鏈的，例如輝達宣布與緯創鴻海等合作，10. 生產重心不是在中國的，11. 或有移轉產能在其它國家的，（看懂局勢看得遠或足夠風險意識或能力足夠的台商，在幾年前應該就要能推測未來經濟格局變化，早早轉移產能）凡是現在生產重心，還主要在中國，而沒有在其它國家已設廠或進行中的，（個人覺得都可以不用考慮投資，因為以它們看局勢或風險意識或其它能力，說能賺很多錢-創造營收並穩定成長，個人覺得機率極低。）--|https://www.ptt.cc/bbs/Stock/M.1744794681.A.85D.html|
Stock_04-16_3|04-16|學術股市|[新聞] 川普大讚「關稅政策」有效！　發文激讚|川普大讚「關稅政策」有效！　發文激讚：美國通膨下降了ETTODAY2025年04月16日 15:55記者吳美依／綜合報導美國總統川普發文表示，美國的通貨膨脹已經下降了，這一切都要歸功於關稅政策，儘管最近的全球市場動盪，正是他頒布的「對等關稅」所引起。剛剛在自家社群媒體Truth Social發文表示，川普14日在白宮會見薩爾瓦多總統布格磊（Nayib Bukele）表示，根據最新消費者物價報告，，川普宣布鬆綁一些關稅措施之後，全球股市於14日回彈。他向記者提及這件事，並且強調「我們不會讓其他國家像過去40年那樣占我們便宜。」此外，輝達（Nvidia）宣布將首度在美國生產AI超級電腦，而川普也將這件事，視為關稅政策取得成功的證據，「這是你所聽過最重大的公告之一，因為正如你們知道的，輝達幾乎控制著整個產業，這是世上最重要的產業之一。」認為，輝達之所以這麼做，是因為他在去年11月5日當選，並且實施了關稅，心得評論：對等關稅4月才實施（除中國加徵至145-245%，其他經濟體暫緩90天剩10%），墨加關稅4月2號才正式實施，三月有的關稅大概就鋼鋁關稅25%，現在就出來吹了，恐怕要看到真實影響數據還要再幾個月吧？--油價是OPEC+的關係吧（？）鮑爾就要軟著陸成功 半途殺出川普搞砸一切，要是川普不這樣搞，可能真的可以軟著陸|https://www.ptt.cc/bbs/Stock/M.1744794813.A.004.html|
Stock_04-16_4|04-16|學術股市|[情報] 2834 臺企銀 113年股利:現金0.2+股票0.6|1. 標題：董事會通過擬議分派股利2. 來源：公開資訊觀測站3. 網址：4. 內文：1. 董事會擬議日期：114/04/162. 股利所屬年(季)度：113年 年度3. 股利所屬期間：113/01/01 至 113/12/314. 股東配發內容：　(1)盈餘分配之(元/股)：　(2)法定盈餘公積發放之現金(元/股)：0　(3)資本公積發放之現金(元/股)：0　(4)股東配發之現金(股利)總金額(元)：1,833,596,576　(5)盈餘轉增資(元/股)：　(6)法定盈餘公積轉增資配股(元/股)：0　(7)資本公積轉增資配股(元/股)：0　(8)股東配股總股數(股)：550,078,9735. 其他應敘明事項：無。6. 普通股每股面額欄位：新台幣10.0000元--|https://www.ptt.cc/bbs/Stock/M.1744795089.A.D4D.html|
Stock_04-16_5|04-16|學術股市|Re: [請益] 中國繼續擺爛是不是要害慘全世界？|"感覺上你在反串不過中國的確在擺爛，而且早在川普發動關稅戰前就在擺爛中國要經濟轉型、要促進內需這套說法從胡錦濤時代就一直講了講到現在中國的內需還是過低中國加入WTO快25年，幾乎把世界市場吃了一大半結果不僅沒有辦法培養出相應的內需市場反而養出了一個頭重腳輕的怪胎就算今天不是川普發難，遲早也會有其他的美國總統或歐盟政治領袖採取動作川普被人抨擊的並不是針對中國這點，而是手段粗暴欠缺考量，地圖砲朝盟友開習近平的確是在擺爛，比較跟中國差不多人均GDP的國家中國的社會保障、社會安全這塊也是倒數的那就演變成國富民窮的情況民間超額儲蓄 > 儲蓄投入房地產 > 房地產泡沫，資產損失 > 消費更加緊縮中國政府這個時候不僅沒有想辦法去降低人民負擔反而還要加緊集中權力、收攏資源備戰也就是習近平認為現在是東昇西降，是百年難得一遇的戰略機遇他要強化集權、重新集中資源去打一場自認的""國運之戰""美國無謀引戰在先，但影響更大的，恐怕會是上述中國的誤判如果關稅戰爛尾還好，經濟就動盪個小半年就是川普個人政治生涯終結，大家事後慢慢修補他造成的破壞如果關稅戰無意觸發了中美之間全面性的對抗，經濟世界大戰後果不堪設想所謂 ""結束所有戰爭的戰爭"" 或 ""一戰定乾坤"" 從來都是妄想這點不管是熱戰、冷戰、經濟戰、科技戰都一樣--"|https://www.ptt.cc/bbs/Stock/M.1744795403.A.4DD.html|
Stock_04-16_6|04-16|學術股市|Re: [新聞] 川普傳打算以關稅談判孤立中國 可能要各|如果美國這樣搞第一個崩潰的應該是台灣的IC設計產業可以查一下 聯發科 聯詠 瑞昱這些中國的案子有多少??營收佔比有多少聯發科佔65%左右聯詠應該更多 因為現在大型面板廠都在中國...瑞昱情況也一樣如果今天川普一聲令下聯發科不准出貨給中國但是美國也不可能讓APPLE用聯發科的晶片阿...三爽也不可能...失去的訂單根本不可能從美國補回來所以應該要開始空台灣的IC設計業了...--|https://www.ptt.cc/bbs/Stock/M.1744795527.A.AD7.html|
Stock_04-16_7|04-16|學術股市|[新聞] 「中國扛不住245％關稅」大量工廠放長假|原文標題：「中國扛不住245％關稅」大量工廠放長假了！2000萬人慘失業原文連結：發布時間：2025-04-16記者署名：林瑩真原文內容：隨著美國總統川普再度祭出對中高額關稅，中國經濟面臨新一波衝擊。《彭博》報導指出，2024年美國自中國進口總額達5,250億美元（約新台幣17兆元），如今面對最高245%懲罰性關稅，中國出口商哀鴻遍野，官方正全力推動內需，以彌補美國市場萎縮造成的損失。川普關稅重擊中國出口，中國企業停產裁員潮蔓延自美方啟動貿易戰以來，中國多數出口導向企業生產計畫紛紛停擺，許多工廠選擇提前放長假，長江三角洲與珠江三角洲地區更出現大規模裁員潮，失業農民工紛紛返鄉，被迫「提前過年」。有中小企業主在直播平台訴苦「美國訂單全停了」；不少失業者投遞上千份履歷，卻始終無法重返職場。高盛集團估算，至多約2,000萬中國勞工（約佔總勞動人口3%）的工作機會受到美國訂單流失波及，勞動市場面臨大規模減薪及裁員打擊。AI自動化與外部壓力雙夾擊　職缺驟減三成除了出口低迷導致失業率攀升，中國製造業也正加速導入人工智慧與自動化生產，進一步壓縮就業空間。根據法國QuantCube Technology追蹤超過2,000家企業的線上招聘資料顯示，中國最近兩個月的職缺數年減近30%。長江商學院民調亦顯示，3月民營企業的招聘意願跌至半年來最低水準。非製造業就業指標同步下滑，反映整體企業對經濟前景仍抱持觀望態度。Pantheon Macroeconomics首席中國經濟學家瑞格利指出，去年底實施的刺激措施尚未有效帶動就業，多數企業在重新招人前仍觀望經濟走勢。成長數據亮眼難掩隱憂　內需刺激難度升高儘管2025年第一季中國GDP年增率仍維持在5%以上，並超出官方預期，但經濟基本面並未穩定。人力資源與社會保障部長王曉萍坦言，就業市場仍承受國內外雙重壓力，人大會議中也設下2025年新增1,200萬城鎮就業機會的目標，顯示當局已意識到失業問題的嚴峻性。與此同時，房地產市場持續低迷，使得提振消費支出更加艱困。消費信心不足，也使政府難以透過內需補齊出口的缺口。投資帶動短期成長　但難掩出口重創中國今年初以創紀錄的基礎建設投資帶動經濟，包括3月挖土機銷量年增29%，以及2月公債淨發行額激增至1.5兆元人民幣（約2,060億美元）。這些數據顯示短期投資效益浮現，成為撐起經濟成長的主力來源之一。然而，美國在「關稅解放日」宣布對全球貿易夥伴加徵關稅後，儘管對多數國家暫緩施行，但中國例外，遭到高達245%的懲罰性關稅，嚴重打擊其出口業。根據彭博經濟研究估算，若中國對美出口中斷，將導致中國GDP減少約3%。北京亟需內需轉型　高盛下調中國成長預測在失業壓力居高不下、外貿遭遇瓶頸之際，北京當局正試圖以內需作為經濟新引擎。只是，在就業與消費信心仍低迷的情況下，轉型並不容易。（相關報導：1產業接單「95%都中國在做」數千供應商倒光光！製造能力全沒，大規模裁員潮來了｜更多文章）高盛近期下調對中國2025年全年經濟成長預期，由原先的4.5%下修至4%。除非後續推出更具針對性的支持政策，否則在關稅重壓與就業惡化的雙重挑戰下，中國經濟仍難言樂觀。心得/評論：中國被美國打爆了開始倒閉裁員無薪假不過繼續這樣下去美國應該也快了到底會是中國先撐不住還是美國先撐不住呢最後不會一起崩下去吧?--|https://www.ptt.cc/bbs/Stock/M.1744795590.A.9E6.html|
Stock_04-16_8|04-16|學術股市|[新聞] 彭博社: 如美國表現尊重, 中國願意談判|原文標題：China Open to Talks If US Shows Respect, Names Point Person原文連結：發布時間：2025年4月16日下午4:27記者署名：原文內容：China wants to see a number of steps from President Donald Trump’sadministration before it will agree to trade talks, including showing morerespect by reining in disparaging remarks by members of his cabinet,according to a person familiar with the Chinese government’s thinking.Other conditions include a more consistent US position and a willingness toaddress China’s concerns around American sanctions and Taiwan, said theperson, who asked not to be identified to discuss internal thinking.Beijing also wants the US to appoint a point person for talks who has thepresident’s support and can help prepare a deal that Trump and Chineseleader Xi Jinping can sign when they meet, the person said.The fate of the global economy and financial markets hinges in large part onwhether the US and China can find a way to avoid a protracted trade war.Trump has hit China with tariffs of 145% on most goods since taking office,prompting Beijing to retaliate and threatening to wipe out most trade betweenthe world’s biggest economies.The offshore yuan gained 0.2% against the dollar in the wake of the report.The Australian dollar, a China-proxy currency, also advanced 0.5%. S&P 500Index futures pared losses to 0.4% from as much as 1.6% earlier in thesession.The rapid onslaught of US tariffs has engendered broad public support inChina for retaliation, giving Xi a political incentive to rebuff Trump’srepeated demands for a phone call. The US leader on Tuesday again called onChina to reach out to him in order to kick off negotiations to resolve thetrade fight.According to the person familiar with Beijing’s thinking, the most importantprecondition for any talks is that Chinese officials need to know suchengagement will be conducted with respect.While the president has been relatively dovish when speaking publicly aboutXi, other members of his administration have been more hawkish, leavingofficials in Beijing unsure of the US’s position, the person said.Whatever the situation in Trump’s first term, officials in Beijing believehe now has tremendous control over this administration, said the person. As aresult, when US officials make pointed statements about China, and Trump doesn’t disavow those views, Chinese officials have assumed the presidentcondones their positions, the person said.Vance CommentsWhile the person didn’t identify any specific comments by administrationofficials, Beijing has recently expressed notable displeasure with commentsVice President JD Vance made about “Chinese peasants.” Chinese ForeignMinistry spokesman Lin Jian last week called the remarks “ignorant anddisrespectful,” in what was a rare direct rebuke of a senior US leader.In addition to wanting a consistent message from the US administration,officials in Beijing also want to know that Washington is ready to addresssome of China’s concerns, the person said. Chief among those is theprevailing perception among Chinese officials that the US has enactedpolicies designed to contain and suppress China’s modernization.The US in recent years has tightened export controls around China in aneffort to prevent Beijing from obtaining cutting-edge chips and otheradvanced technology. Trump’s administration on Monday barred Nvidia Corp.from selling its H20 chip in China, escalating the tech fight with Beijing.Point PersonChina also wants the US to address its national security concerns,particularly over Taiwan, the person said. Beijing claims the self-governingisland as part of its territory and has pledged to take steps, includingmilitary action if necessary, to protect those claims. China will notundertake any provocative actions on Taiwan, the person said, but it willrespond if provoked.Finally, Beijing also wants the US to designate a point person to overseetalks, the person said. China has no preference for who that is but they wantthe person to clearly be speaking and acting with Trump’s authority.Chinese officials also understand that Trump may want to personally lead thenegotiations, the person said. While Beijing would be flattered by Trumpwanting to invest his time to such discussions, the person said, Chinabelieves the best way forward is for officials designated by the twopresidents to oversee the talks.That would be the most-effective way to ensure that negotiations culminatedin a meaningful summit between Trump and Xi, the person said.心得/評論：重點整理:了解中國想法的消息人士表示, 談判的前提是川普能控制內閣官員的貶損言論, 表現尊重中國希望美國可以指派一位聯絡人, 準備好一份川普跟習近平會面時能簽署的協議除了貿易問題, 中國也希望針對台灣問題與美國進行協商中國表示不會對台灣採取挑釁, 但如果受到挑釁將會回應===不確定是否有關連, 不過今天中國剛任命新的貿易談判代表--                                      04/16 17:40|https://www.ptt.cc/bbs/Stock/M.1744795603.A.942.html|
Stock_04-16_9|04-16|學術股市|Re: [新聞] 彭博社: 如美國表現尊重, 中國願意談判|『2025.04.10』<----日期很重要外交部發言人所說的話所以,CN從沒說過不談,但談的前提是平等尊重,而不是kiss my ass任何人都知道媒體在什麼時間點放什麼新聞出來,都有其目的性而彭博這個『時間點』來這麼一篇比較像配合川皇,刻意引導認知,丟出245%關稅極限施壓後,彷彿老共就軟了可以讓245%不會像是一場獨角戲笑話股點:喵的245%,害我今天賠1.2%--市場當然應該接受這訊息,只是這是5天前已經開口的事情是市場太需要有一邊服軟75國跪舔分攤,6月買0息美債,就天下太平了 XD『今天』川皇肯派,CN還不肯給簽證呢物理消滅債權人,最有效本輪開戰後,CN所有大豆採購轉向巴西三角形好用會躺槍對阿~那彭博怎麼不引用『今天』外交部談話,反而回去找五六天前的內容(拍拍)US 晶片法案有沒有補貼?烏東四州,我知道你想暗示什麼看誰在菜單上囉 (攤手|https://www.ptt.cc/bbs/Stock/M.1744796688.A.23B.html|
Stock_04-16_10|04-16|學術股市|[新聞] 新護國3神山 劉鏡清：矽光子、量子、自|原文標題： 劉鏡清：原文連結：發布時間：2025/04/16 15:16記者署名：原文內容：〔記者吳欣恬／台北報導〕面對美國對等關稅，台灣產業如何突圍？國發會主委劉鏡清表示，一是強化既有護國神山的韌性，，目前等3大產業，都是長期發展的對象。立法院今邀國發會主委、經濟部長郭智輝、財政部次長李慶華就「因應國際貿易情勢變化，如何協助國內廠商擴大國際市場」進行報告並備質詢。劉鏡清表示，目前政府兩件事在做，一是強化既有護國神山的韌性，像是半導體相關的特用化學以及零組件、設備等，協助強化韌性；另一則是規劃更多、新的護國神山，像是AI和ICT資通訊產業。如何選擇新的護國神山？劉鏡清指出，從兩構面看，先是產業是否具備國際競爭力，如果已有國際競爭力，再進一步看該產業是否有一定市佔率，政府協助業者擴大市佔率。他強調，，從技術上看，等3大產業，都是長期發展的對象，規劃政策協助。劉鏡清說明，美國占全球進口市場13.4%，意即美國之外的市場還有86.6%，政府希望引導廠商分散市場，進入全球。有立委質疑，輝達擴大在美國投資，將在美國建置約5000億美元的AI基礎設施，是否加速半導體供應鏈向美國移動。對此，劉鏡清表示，輝達投資美國將增加商業機會，因為投資是手段、是過程，目的是取得商機，5000億美元對台商而言，是可取得的巨大商機。劉鏡清指出，產業跟著商業機會走，不會因此造成技術流失，台灣過去30、40年的全球化過程中，都已經有經驗，每個企業都有獨到方式守住機密，畢竟這是商業生命。劉鏡清說，台商跟輝達是完整的供應鏈整合，此項投資案看讓雙方鎖得更緊、更有未來。在協助業者擴大全球佈局上，劉鏡清表示，要依據不同產業在不同地方的發展，攻略才有效率。他舉例，美國近年對於智慧醫療重視，市場就會起來，因此要依據產業特性，今明年的變化來選擇，這部份要透過貿協掌握市場趨勢變化，知道現在產業市場在哪些地方崛起，建立這樣的資訊提供廠商做參考。劉鏡清說，上週已著手規劃，包括通路、市場和相關法規，協助業者有建立通路能力，進行新市場開發。心得/評論：台灣除了熟悉的台積電為護國神山外，國發會主委劉鏡清更提出了           矽光子、量子產業、自動化機器人為未來新的護國神山           要密切注意這些族群，股價有機會走一波?--|https://www.ptt.cc/bbs/Stock/M.1744796866.A.2BC.html|
