item_id|date|category|title|content|link|photo_link
aipl_20250304_1|2025-03-04|政治|梵蒂岡圖書館長率團參觀台灣使館  力薦值得訪台|梵蒂岡宗座圖書館總館長札尼今天率領數十位北義的社會菁英教友拜會駐教廷大使館。曾訪台的札尼致詞時向教友力推「台灣是個卓越國家，非常值得前往」，多位教友對台灣高度好奇，熱情表示「下次旅遊地點將鎖定台灣」。札尼（Angelo Vincenzo Zani）於2023年曾訪台參加故宮「梵蒂岡宗座圖書館珍藏」暨「明清宮廷藏書」特展，對台灣留下深刻印象。他今天率領北義家鄉布雷西亞（Brescia）約40位教友到羅馬朝聖，特別安排教友參觀台灣使館。這群教友皆為布雷西亞扶輪社成員，職業包括中小企業家、大學教授、律師和高階憲警等。札尼致詞時盛讚，台灣長期與教廷攜手推動人道援助，包括協助他在非洲剛果推動的教育與醫療工作，在COVID-19（2019冠狀病毒疾病）疫情期間，台灣也曾向布雷西亞醫院捐贈呼吸器，因此他一直想向家鄉教友介紹開放、多元又好客的台灣，盼促進彼此更多交流機會。駐教廷大使李世明致詞介紹台灣時，引用「時事哏」開場博得眾人鼓掌大笑。他表示，日前美國總統川普（Donald Trump）與烏克蘭總統澤倫斯基（Volodymyr Zelenskyy）在白宮會晤後，有句流行語在國際社會很夯，就是「你手上有什麼牌可打」，台灣論領土面積雖小，但台灣對國際很重要，可說手上有很多牌，其重要性可分3個主要方面闡釋。李世明說，首先台灣具有地緣戰略重要性，台灣海峽是全球貨運通過的重要管道；第二，台灣半導體產業位居世界關鍵地位，先進晶片製程在全球市占率超過9成。李世明表示，第三點最重要，教宗方濟各（Pope Francis）說今年是希望禧年，台灣作為自由民主國家，是所有受到中國共產威權統治下人民的希望，因為在中國，人民無法享受自由與公平正義，「台灣扮演了帶來希望的角色」。李世明鼓勵北義菁英教友到台灣訪問，現在羅馬、米蘭都有直飛台灣班機，非常方便。在場的布雷西亞扶輪社幹部對此反應熱烈，當場表示要公開徵求「台灣扶輪社姊妹社」，下次立刻安排整團訪台，不少教友也直喊「報名」、「加一」，並開始向使館人員打探台灣有哪些美食、登山、海灘景點，展現義大利人熱情的民族性。|/news/aipl/202503040022.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20250304/1024x768_wmky_0_C20250304000002.jpg
aipl_20250304_2|2025-03-04|政治|力挺友邦瓜地馬拉  台灣採購咖啡增加5成創新高|由外交部中美洲經貿辦事處籌組的台灣咖啡考察團，力挺友邦瓜地馬拉，預計採購38個貨櫃、72萬公斤咖啡生豆，除比去年增加近5成，考察團規模和採購量更創下歷年新高。台灣「2025年中美洲咖啡經貿考察團」日前抵達瓜地馬拉，實地考察咖啡生產鏈。3日上午也前往瓜地馬拉咖啡協會（ANACAFE）拜訪，並且親身杯測瓜國各個產區，不同品種風味的咖啡。中美洲經貿辦事處主任徐韶慧表示，相較去年11家台灣業者組團考察，下單採購總價值260萬美元，26個貨櫃的咖啡生豆；今年增加到13家台灣業者參與，更大幅採購總計38個貨櫃、共72萬公斤咖啡生豆，顯示台灣消費者對瓜地馬拉咖啡的喜愛，更凸顯台瓜蓬勃商機發展。徐韶慧強調，根據統計，2024年瓜地馬拉進口的咖啡豆占台灣咖啡消費總量的10%以上，是台灣第4大的咖啡進口國。換句話說，台灣每賣出10杯咖啡，就有超過1杯是來自瓜地馬拉。此外，台灣在整個亞洲的咖啡消費國中也位居第3，僅次於日本和韓國。去年5月底，中國突然宣布禁止瓜地馬拉夏威夷豆和咖啡豆進口，作為外交勒索手段，引起瓜國政府和業者不滿。台灣外交部和台灣咖啡進口商第一時間伸出援手，將這一批咖啡貨櫃轉運往台灣。中美洲經貿辦事處也別出心裁，將這批瓜國咖啡豆製作成濾掛式咖啡包，在此次參訪行程更將致贈瓜國友人「限定版友誼咖啡」禮盒，成為台灣力挺瓜國另一種象徵。根據瓜地馬拉中央銀行數據，2024年瓜地馬拉對台灣的咖啡出口超過1800萬美元，相比於2023年，出口量增長了13%；而咖啡也僅次於糖，成為瓜國出口台灣的第二大商品。出席活動的瓜地馬拉外交部次長歐洛斯柯（Julio Orozco）特別感謝台灣和瓜地馬拉共同推廣咖啡，不只進一步提升全球市場地位，更讓台瓜人民及瓜國咖啡農都能夠受惠。除了政治因素干擾，近年來全球咖啡受到氣候變遷影響，產量供應不穩，市場價格也大幅波動。台灣咖啡考察團業者張正仁指出，過去咖啡價格雖然每十年就會有一次上漲，但基本上2、3個月後就恢復平穩。不過自COVID-19（2019冠狀病毒疾病）疫情後，咖啡價格卻持續走揚，這種情況是過數十年罕見的，自然也造成進口商的成本壓力。張正仁強調，現在只能觀察3、4月後，全世界第一大咖啡生產國巴西氣候是否穩定，產量回穩，未來咖啡價格波動才會明朗。中美洲經貿辦事處（CATO）表示，瓜地馬拉因地理條件與多樣化的微型氣候，本身擁有8大咖啡產區，其中以安地瓜（Antigua）與維維特南戈（Huehuetenango）尤為出名。台灣考察團此次也將深入位於內陸高海拔，地處偏遠交通不便的維維特南戈產區，親自探訪並了解當地咖啡從種植、採收、處理到烘焙的完整生產流程，並與咖啡農、處理廠及出口商交流。|/news/aipl/202503040019.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20250304/1024x768_wmky_0_C20250304000006.jpg
aipl_20250303_3|2025-03-03|政治|民團告發傅崐萁涉外患與強制罪 高檢署：依法辦理|經民連與台灣東社今天分別告發國民黨立委傅崐萁涉犯外患罪、反滲透法與強制罪；高檢署表示，已收到告發狀，後續依法辦理。至晚間9時止，尚無法取得傅崐萁對此事的回應。台灣經濟民主連合智庫召集人賴中強等人今天在台灣高等檢察署前舉行記者會，現場發放的新聞資料指稱中國國民黨立法院黨團總召集人傅崐萁未獲行政院授權，2月到香港與多名香港區議員、香港旅遊業監管局官員等會商，宣稱代表「台灣的中央政府」，承諾台灣政府願提供補助進行在台跨縣市觀光合作。經民連說，傅崐萁去年率國民黨團17名成員訪問中國，會見中國人民政治協商會議全國委員會主席王滬寧等官員，返台後即遊說行政院官員等，開放福建平潭與台灣間海上客運直航復航。另外，傅崐萁昨天在花蓮一場活動中致詞時，近80歲的退休教師葉春蓮起身「嗆聲」被請出場，引發許多民眾及曾被葉春蓮教過的學生不滿。台灣東社發言人陳財能上午到花蓮縣警察局花蓮分局軒轅派出所，告發傅崐萁等違反中華民國刑法強制罪，要求警方做好證據保全及即刻調查，維護花蓮人人身自由及權利。|/news/aipl/202503030336.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20250303/1200x800_wmky_141666447751_202503030044000000.jpg
aipl_20250303_4|2025-03-03|政治|民眾黨公聽會 學者：不認同超徵後普發現金|台灣去年度稅收高於預算，國民黨主張普發現金新台幣1萬元。民眾黨團今天舉行公聽會，會中學者認為，目前的租稅制度不公、財務模型有檢討必要，但普遍不認同超徵後直接以普發現金處理。台灣民眾黨立法院黨團今天舉行「檢討連年超徵，共享經濟成果」公聽會，邀學者專家、政府代表出席。民眾黨立法院黨團總召黃國昌說，執政黨年年超徵數千億，不知是能力問題，還是故意讓人民產生錯覺，以為政府年年賸餘，但若將特別預算納入，歲出大幅超過賸餘，顯示過去蔡政府將特別預算常態化、甚至病態化。黃國昌指出，民進黨政府政策前後矛盾，過去蔡政府時，前行政院長蘇貞昌力推普發現金6000元，如今賴政府卻說要先還債，施政毫無一貫邏輯；民眾黨有責任和擔當，主張建立制度化解決機制，讓國家走向正軌。民眾黨團副總召張啓楷說，民進黨政府4年超徵1.8兆元，民眾黨要「追責任、修法令」，上游的主計總處、國發會和財政部等部會，有沒有問題；下游針對立委審的預算法、公債法，有問題都要修法、補破網。政治大學財政學系教授陳國樑說，政府當務之急要先提高稅收預測的精準度，第二則是稅收超徵時的法制化處理方式。建議參酌歐盟「債務調整制度」，把政府赤字跟債務還本能力連結，在景氣衰退期間適度減輕還本壓力，並允許在稅收低於預期時，增加舉債額度。台北商業大學財稅系教授黃耀輝指出，政府財政管理與支出都出問題，政府超收即超花，並未有效償還公共債務；建議超徵稅收應優先用於還債，更應提出具體稅制改革方案，確保財政公平與穩健。財政部賦稅署長宋秀玲說，觀察疫情期間，2020年到2023年稅收數字確實有落差，聽專家學者建議成立稅收估測專家小組，發現營利事業所得稅和綜合所得稅占比達50%，財政部委請陳國樑團隊做研究報告，但因時間落差的關係，才導致稅收誤差。黃國昌也質疑，政府對普發現金前後立場不一，針對普發現金所帶來的經濟效益，是否有做評估。國家發展委員會經濟發展處副處長陳美菊說，過去普發現金是為疫後振興經濟、強化社會韌性；黃國昌則要求提供評估報告。民眾黨指出，公聽會中學者一致認為，目前的租稅制度不公、財務模型有檢討必要，普遍不認同超徵後直接以普發現金處理，因為超徵並非多餘資金，若將超徵款普發現金或以其他形式退還，每發1元都可能需要舉借新債，造成債留子孫；但若政府不多還債，仍可考慮將部分超徵稅收以普發現金方式返還給民眾。|/news/aipl/202503030327.aspx|
ait_20250303_1|2025-03-03|科技|印度推動碳市場 計劃2026年中上路|印度電力部長卡塔爾表示，印度正積極準備在2026年底前推出備受期待的碳市場。這項政策預計發揮重要作用，在協助產業綠色轉型的同時，確保符合國際碳規範。碳產業新聞網站Carbon Herald報導，卡塔爾（Manohar Lal Khattar）2月底談及此事時說：「我國很快就會推出獨立的碳市場…預計2026年中推出。」「根據這項計畫，使用化石燃料或排碳者必須購買碳信用額度，反之使用非化石燃料能源的人，將取得可在碳市場出售的碳信用額度。目前印度尚未建立的碳交易市場將於2026年啟動」。碳市場對於印度出口商尤為重要，因為他們必須符合全球碳排規範來維持競爭力。卡塔爾強調，符合國際碳規範對企業來說非常重要，「尤其是要外銷到環保嚴格市場的業者」。由於歐盟的碳邊境調整機制（CBAM）對碳密集進口商品徵收碳稅，鋼鐵和水泥等產業都對此表示擔憂。引入碳信用額度將激勵印度製造商採用綠色能源方案，以減少碳排並確保更符合歐盟法規。印度碳市場的基礎於2022年奠定，當年通過的「節能修正法」（Energy Conservation (Amendment) Bill）為碳交易制度鋪路，讓企業能買賣碳信用額度，並透過財務獎勵促進永續發展，鼓勵企業減排。|https://netzero.cna.com.tw/news/202503030214/|https://imgcdn.cna.com.tw/www/WebPhotos/200/20250304/1024x705_wmkn_12906807762_0.jpg
ait_20250303_2|2025-03-03|科技|雲達、技嘉揮軍MWC 展示AI與邊緣運算應用|2025年世界行動通訊大會（MWC）今天起在西班牙巴塞隆納登場，吸引全球科技業目光，代工廠廣達子公司雲達科技、板卡廠技嘉都親自與會，展示人工智慧（AI）、邊緣運算及機器人等最新技術。雲達發布新聞稿說明，在今年MWC大會上，將展示與Red Hat、Samsung Electronics Co., Ltd.、Solomon、新加坡科技設計大學、台灣大哥大、達明機器人、Viavi、Vossic、Wind River等廠商和開放社群的最新合作成果。雲達也將展示最新取得認證的邊緣伺服器、OmniPOD端到端5G企業專網解決方案，以及與夥伴的多項合作，包括人工智慧/機器學習（AI/ML）節能模型、數位孿生模擬、遠距人工智慧物聯網（AIoT）、自動化機器人、智慧校園等。雲達科技總經理楊麒令表示，藉由與生態系統合作夥伴密切合作，雲達能夠創新並提供推動產業前進的尖端解決方案。透過在AI、邊緣運算和機器人技術方面的最新努力，可以確保能夠滿足客戶不斷變化的需求。技嘉將在MWC 2025展示從AI開發到部署的運算解決方案，呼應大會「企業再創」及「AI加乘」主題。技嘉的AI開發解決方案包括新世代G893 AI伺服器，可支援NVIDIA B200、AMD MI325X、Intel Gaudi-3等繪圖處理器（GPU）；另將展示叢集式運算產品GIGAPOD，提供一站式AI訓練解決方案。針對AI部署方案，技嘉將展出R系列伺服器，採用CXL記憶體互連技術，可降低傳輸延遲與布建成本；另將首度公開3U刀鋒式終端伺服器，提供高密度運算架構。|/news/ait/202503030310.aspx|
ait_20250303_3|2025-03-03|科技|歐洲追求太空雄心 阿利安6型火箭將執行首趟商業飛行|歐洲新的重型載運火箭「阿利安6型」預計今天執行首趟商業飛行任務。在美國與俄羅斯關係出乎預料破冰之際，歐洲國家試圖確保自己有能力獨力進入太空。法新社報導，「阿利安6型」（Ariane 6）經過數次延宕後，將於當地時間今天下午1時24分（台灣時間4日凌晨0時24分）從法屬圭亞那的庫魯（Kourou）發射場發射升空。這將是「阿利安6型」自去年7月首次試射以來，第2次升空。「阿利安6型」將載運法國軍用衛星CSO-3，預計將該顆衛星放置離地表約800公里高的軌道上。CSO-3有望提升法國的軍事自主程度及強化法軍的情蒐能力。法國執行這項引人注目的太空任務之際，法國總統馬克宏（Emmanuel Macron）正呼籲歐洲降低對美國的安全依賴；歐洲太空產業面對美國億萬富豪馬斯克（Elon Musk）旗下太空探索科技公司（SpaceX）時，也正努力維持競爭力。CSO-3將完成由法國3顆軍用衛星組成的偵察網絡；前2顆衛星分別在2018年和2020年由俄羅斯聯合號（Soyuz）火箭載運升空。不過，自2022年俄羅斯入侵烏克蘭後，歐洲一直未能使用聯合號火箭執行衛星發射任務，而「阿利安6型」的前身、「阿利安5型」（Ariane 5）已在2023年退役。|/news/ait/202503030277.aspx|
ait_20250303_4|2025-03-03|科技|美國聯邦航空總署開綠燈 SpaceX星艦將第8度試射|美國太空探索科技公司（SpaceX）的「星艦」（Starship）火箭預計於德州時間今天下午5時30分（台灣時間4日早上7時30分）進行第8次試射，屆時將全程網路直播。法新社報導，星艦將於當地時間下午5時30分，在SpaceX位於德州波卡契卡（Boca Chica）的私有太空港「星際基地」（Starbase）發射。星艦上次發射後在加勒比海上空爆炸。高聳的星艦比93公尺高的自由女神像還要高約30公尺，目標是能夠完全重複使用。這款火箭在SpaceX執行長馬斯克（Elon Musk）與SpaceX的火星殖民願景中扮演關鍵角色。星艦今年1月16日進行第7度試射時，上節火箭在英屬土克凱可群島（Turks and Caicos Islands）上空爆炸解體，隨即遭美國聯邦航空總署（Federal Aviation Administration，FAA）下令停飛。不過，FAA於2月28日表示，在該署完成SpaceX「事故調查」之前，星艦可恢復飛行。事發後SpaceX已針對上節火箭進行多項升級，以強化其可靠性並提升性能。最新的試射任務預計將持續約1小時，包括將再度使用發射塔的大型機器手臂「筷子」（chopstick）接住助推器。包括上次試射在內，SpaceX過去一共2度成功執行這項功能。此外，SpaceX還將部署模仿次世代星鏈（Starlink）衛星的模擬器，模擬器在重新進入大氣層時會自行燒毀。SpaceX的最終目標是回收上節火箭，但根據目前的計畫，上節火箭將在澳洲西部外海濺落，就和之前的試射行動一樣。SpaceX實現太空探險目標之前，必須證明星艦具備飛行能力和適合載人任務的安全性，而且還必須展示複雜的太空加油技術，利用其他的星艦作為加油機，以達成長距離太空旅行的目標。|/news/ait/202503030223.aspx|
aspt_20250304_1|2025-03-04|運動|前經紀公司帳務糾紛 陳傑憲發聲明：談約正常沒耽擱|中職統一7-ELEVEn獅隊野手陳傑憲的前經紀公司躍樂3日發律師聲明，指前負責人及股東有帳務糾紛；陳傑憲隨後發聲明表示與躍樂合約已經到期，談約正常順利進行、沒有任何耽擱。躍樂運動行銷3日發出律師聲明表示，接手公司後發現前詹姓負責人和其丈夫蔡姓股東經營公司時期，有多筆不明金流。另外也提及，在詹姓負責人任職期間，有數筆帳目均無法核對，給付球員之相關費用與合約內容不符，認為詹姓負責人於任職期間恐已違反忠實義務，更有挪移、侵占公司資產之嫌，已委請律師協助後續法律程序。中華職棒球員工會也發布聲明啟動調查與協助，確保工會會員的權益不受影響，「將持續監督並釐清相關狀況，並與聯盟、各球團及相關單位保持溝通，維持市場環境穩定，以確保整體經紀市場能在符合業界需求的前提下，依循規範正常運作。」陳傑憲新合約受到矚目，先前獅隊透露已開出合約總值超過新台幣1.6億元的合約，就等陳傑憲回覆，外界關心陳傑憲談約是否會受經紀公司影響，獅隊領隊蘇泰安回覆，陳傑憲有表達繼續委由原本的蔡姓經紀人洽談合約。陳傑憲也在個人社群發出聲明，澄清與躍樂的經紀約在去年12月31日到期，目前不隸屬於躍樂，並提及與經紀人Lio以及團隊多年來一直都是相當順利，也相當信任，「未來也再麻煩他們多多照顧」，另外也表示，「合約一直都正常順利的進行中，並無任何耽擱！有任何進展會向大家報告！」|/news/aspt/202503040002.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20250304/1200x933_wmky_180925999239_202503010117000000.jpg
aspt_20250303_2|2025-03-03|運動|陳彥博帶傷堅持拚北極圈超馬賽 目標平安完賽|台灣極地超馬運動員陳彥博征戰北極圈617公里不休息長征賽，目前完成接近一半賽程，卻出現雙腳水泡導致發炎狀況，但他仍堅持比賽，期望平安完賽。在加拿大舉行的北極圈617公里不休息長征賽，以極端環境與嚴苛挑戰著稱，參賽者除了須9天內徒步完成不間斷的長征，而且全程自給自足，並在平均攝氏零下30度的嚴寒中，橫越冰雪覆蓋的荒野，導致完賽率僅30%，至今尚未有亞洲選手成功完賽。身為今年唯一參賽的亞洲選手，現年38歲的陳彥博啟程赴加拿大前做足準備，包含從台北到高雄拉著雪橇的模擬體能訓練、寒流襲捲時到陽明山進行低溫訓練等，展現面對極地挑戰的決心與毅力，並希望以行動激勵更多人勇敢追夢，「當你全心全意投入時，夢想也會向你靠近。」陳彥博從開賽即始終保持在領先群位置，目前已經通過第4檢查站，完成接近一半的賽程，總排名則暫居第3名，落後給英國選手貝爾奇爾（Guy Belchier）、澳洲選手庫克斯（Aaron Crook）。然而，在連續低溫及長距離移動下，陳彥博的雙腳因為水泡產生發炎與灼熱感，經醫療人員診斷可能是感染所致，但他仍選擇堅持比賽，在檢查站短暫休息2小時，並自行處理傷口確保不會惡化。他說，「現在只想平安完賽，不想再衝太快，沿途我會一直換襪子，確保腳的乾燥。」|/news/aspt/202503030353.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20250303/1365x768_wmkn_0_C20250303000182.jpg
